Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17:02:00,Monday,18-30,Male,Above high school,Employee,2,Automobile,Owner,1,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:02:00,Monday,31-50,Male,Junior high school,Employee,10,Public,Owner,2,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
17:02:00,Monday,18-30,Male,Junior high school,Employee,2,Lorry,Owner,3,No defect,  Recreational areas,other,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
01:06:00,Sunday,18-30,Male,Junior high school,Employee,6,Public,Governmental,4,No defect,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
01:06:00,Sunday,18-30,Male,Junior high school,Employee,5,Automobile,Owner,5,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
14:15:00,Friday,31-50,Male,Junior high school,Owner,1,Long lorry,Governmental,1,Defect,Office areas,Double carriageway (median),Escarpments,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,45,3,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
17:30:00,Wednesday,18-30,Male,Junior high school,Employee,4,Automobile,Owner,2,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,67,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,4,Automobile,Governmental,3,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,11,Lorry ,Owner,4,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,17,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,2,Automobile,Owner,5,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,28,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
14:40:00,Saturday,18-30,Male,Above high school,Owner,1,Public ,Owner,6,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
14:40:00,Saturday,31-50,Male,Above high school,Employee,0,Automobile,Owner,7,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,24,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:45:00,Thursday,18-30,Male,Junior high school,Employee,1,Public ,Owner,8,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,7,Lorry ,Owner,9,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,14,Automobile,Owner,1,No defect,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,16,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Female,Junior high school,Employee,12,Lorry ,Owner,2,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Owner,6,Public,Owner,3,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22:45:00,Monday,18-30,Male,Elementary school,Employee,3,Public ,Owner,4,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Employee,4,Public ,Owner,5,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,na,na,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
08:20:00,Tuesday,18-30,Male,Junior high school,Employee,1,Long lorry,Owner,6,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,16,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
08:20:00,Tuesday,Under 18,Male,Junior high school,Employee,3,Lorry ,Owner,7,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
15:10:00,Thursday,18-30,Male,Junior high school,Employee,4,Lorry ,Owner,8,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,27,3,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
12:11:00,Thursday,18-30,Male,Elementary school,Employee,9,Lorry,Owner,8,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,33,3,Driver,Normal,Not a Pedestrian,Overloading,Serious Injury
12:11:00,Thursday,31-50,Male,Junior high school,Employee,16,Public ,Owner,9,Defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,7,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
